FSP — Fulfillment Services Protocol: сводка
Считается по реестрам модулей; пересобирается при изменении состава.
Показатель,Значение
Модулей stable,4
Модулей planned,2
Базовых услуг,55
Отраслевых услуг,6
Категорий,12
Полей условий цены,97
Уровней соответствия прайса,3
Методов расчёта цены,6
Переменных диапазонов,15
Областей диапазонов,9
Причин непокрытия,22
Пунктов назначения,1039
Нормативных правил стандарта,76
Проверок целостности,42
Ошибок целостности,0
Статус публикации,READY
Тарифных вариантов проверено на реальных прайсах,166
Открытых дыр покрытия,8
Главный принцип
"Каталог определяет смысл операции. Прайс оператора определяет коммерческий пакет. Условия определяют применимость и цену. Мощность и маршруты определяют, кто физически может взять работу. Уровень соответствия определяет, насколько глубоко описан прайс, и не является оценкой оператора."
